Id;Namn;Dag 1;Dag 2;Dag 180;Dag 181;Dag 365;Dag 366
5016;Innovative Bioresearch;2020-03-11;2020-03-12;2020-09-07;2020-09-08;2021-03-11;2021-03-12
6586;Bintex Futures;2020-08-21;2020-08-22;2021-02-17;2021-02-18;2021-08-21;2021-08-22
1596;Edgeless;2017-03-30;2017-03-31;2017-09-26;2017-09-27;2018-03-30;2018-03-31
4950;LCX;2019-12-03;2019-12-04;2020-05-31;2020-06-01;2020-12-02;2020-12-03
7096;Bridge Oracle;2020-09-17;2020-09-18;2021-03-16;2021-03-17;2021-09-17;2021-09-18
1807;Santiment;2017-07-12;2017-07-13;2018-01-08;2018-01-09;2018-07-12;2018-07-13
5453;KardiaChain;2020-04-17;2020-04-18;2020-10-14;2020-10-15;2021-04-17;2021-04-18
3657;Lambda;2019-01-02;2019-01-03;2019-07-01;2019-07-02;2020-01-02;2020-01-03
1789;Populous;2017-07-11;2017-07-12;2018-01-07;2018-01-08;2018-07-11;2018-07-12
5410;PARSIQ;2020-08-20;2020-08-21;2021-02-16;2021-02-17;2021-08-20;2021-08-21
1500;Wings;2017-01-11;2017-01-12;2017-07-10;2017-07-11;2018-01-11;2018-01-12
7288;Venus;2020-10-05;2020-10-06;2021-04-03;2021-04-04;2021-10-05;2021-10-06
1834;Pillar;2017-07-24;2017-07-25;2018-01-20;2018-01-21;2018-07-24;2018-07-25
131;Dash;2014-02-14;2014-02-15;2014-08-13;2014-08-14;2015-02-14;2015-02-15
1455;Golem;2016-11-18;2016-11-19;2017-05-17;2017-05-18;2017-11-18;2017-11-19
2135;Revain;2017-11-01;2017-11-02;2018-04-30;2018-05-01;2018-11-01;2018-11-02
5380;HUNT;2020-03-30;2020-03-31;2020-09-26;2020-09-27;2021-03-30;2021-03-31
5612;SOMESING;2020-05-21;2020-05-22;2020-11-17;2020-11-18;2021-05-21;2021-05-22
6636;Polkadot;2020-08-20;2020-08-21;2021-02-16;2021-02-17;2021-08-20;2021-08-21
1768;AdEx;2017-07-01;2017-07-02;2017-12-28;2017-12-29;2018-07-01;2018-07-02
6940;Lead Wallet;2020-09-08;2020-09-09;2021-03-07;2021-03-08;2021-09-08;2021-09-09
1955;Neblio;2017-09-12;2017-09-13;2018-03-11;2018-03-12;2018-09-12;2018-09-13
1984;Substratum;2017-09-25;2017-09-26;2018-03-24;2018-03-25;2018-09-25;2018-09-26
2130;Enjin Coin;2017-11-01;2017-11-02;2018-04-30;2018-05-01;2018-11-01;2018-11-02
2471;Smartlands;2018-01-25;2018-01-26;2018-07-24;2018-07-25;2019-01-25;2019-01-26
2099;ICON;2017-10-27;2017-10-28;2018-04-25;2018-04-26;2018-10-27;2018-10-28
1856;district0x;2017-08-03;2017-08-04;2018-01-30;2018-01-31;2018-08-03;2018-08-04
4441;Vectorspace;2019-12-04;2019-12-05;2020-06-01;2020-06-02;2020-12-03;2020-12-04
2181;Genesis Vision;2017-11-15;2017-11-16;2018-05-14;2018-05-15;2018-11-15;2018-11-16
5046;Streamity;2020-04-14;2020-04-15;2020-10-11;2020-10-12;2021-04-14;2021-04-15
1619;Skycoin;2017-04-17;2017-04-18;2017-10-14;2017-10-15;2018-04-17;2018-04-18
5805;Avalanche;2020-09-22;2020-09-23;2021-03-21;2021-03-22;2021-09-22;2021-09-23
1816;Civic;2017-07-17;2017-07-18;2018-01-13;2018-01-14;2018-07-17;2018-07-18
1779;Wagerr;2017-07-05;2017-07-06;2018-01-01;2018-01-02;2018-07-05;2018-07-06
1786;SunContract;2017-07-06;2017-07-07;2018-01-02;2018-01-03;2018-07-06;2018-07-07
1521;Komodo;2017-02-05;2017-02-06;2017-08-04;2017-08-05;2018-02-05;2018-02-06
3715;Cajutel Sarl;2019-01-31;2019-02-01;2019-07-30;2019-07-31;2020-01-31;2020-02-01
4157;Thorchain;2019-07-23;2019-07-24;2020-01-19;2020-01-20;2020-07-22;2020-07-23
2010;Cardano;2017-10-01;2017-10-02;2018-03-30;2018-03-31;2018-10-01;2018-10-02
5328;WOM;2020-03-17;2020-03-18;2020-09-13;2020-09-14;2021-03-17;2021-03-18
3581;Kleros;2018-11-01;2018-11-02;2019-04-30;2019-05-01;2019-11-01;2019-11-02
6535;Near Protocol;2020-10-13;2020-10-14;2021-04-11;2021-04-12;2021-10-13;2021-10-14
5545;NFXCoin;2020-05-06;2020-05-07;2020-11-02;2020-11-03;2021-05-06;2021-05-07
2244;PayFair;2017-12-03;2017-12-04;2018-06-01;2018-06-02;2018-12-03;2018-12-04
4760;PantheonX;2020-05-13;2020-05-14;2020-11-09;2020-11-10;2021-05-13;2021-05-14
1104;Augur;2015-10-27;2015-10-28;2016-04-24;2016-04-25;2016-10-26;2016-10-27
5632;Arweave;2020-05-27;2020-05-28;2020-11-23;2020-11-24;2021-05-27;2021-05-28
1934;Loopring;2017-08-30;2017-08-31;2018-02-26;2018-02-27;2018-08-30;2018-08-31
1376;NEO;2016-09-09;2016-09-10;2017-03-08;2017-03-09;2017-09-09;2017-09-10
1788;Metal;2017-07-09;2017-07-10;2018-01-05;2018-01-06;2018-07-09;2018-07-10
1896;0x;2017-08-16;2017-08-17;2018-02-12;2018-02-13;2018-08-16;2018-08-17
2132;Power Ledger;2017-11-01;2017-11-02;2018-04-30;2018-05-01;2018-11-01;2018-11-02
4916;Modex;2020-10-10;2020-10-11;2021-04-08;2021-04-09;2021-10-10;2021-10-11
2772;Digitex;2018-05-23;2018-05-24;2018-11-19;2018-11-20;2019-05-23;2019-05-24
2151;Autonio;2017-11-06;2017-11-07;2018-05-05;2018-05-06;2018-11-06;2018-11-07
2071;Request Network;2017-10-20;2017-10-21;2018-04-18;2018-04-19;2018-10-20;2018-10-21
2153;Aeron;2017-11-07;2017-11-08;2018-05-06;2018-05-07;2018-11-07;2018-11-08
3698;OBSERVER;2019-01-15;2019-01-16;2019-07-14;2019-07-15;2020-01-15;2020-01-16
6039;Connectome;2020-08-03;2020-08-04;2021-01-30;2021-01-31;2021-08-03;2021-08-04
1966;Decentraland;2017-09-17;2017-09-18;2018-03-16;2018-03-17;2018-09-17;2018-09-18
6957;AllianceBlock;2020-09-09;2020-09-10;2021-03-08;2021-03-09;2021-09-09;2021-09-10
1638;WeTrust;2017-04-20;2017-04-21;2017-10-17;2017-10-18;2018-04-20;2018-04-21
1454;Lykke;2016-11-14;2016-11-15;2017-05-13;2017-05-14;2017-11-14;2017-11-15
3325;Robotina;2018-09-21;2018-09-22;2019-03-20;2019-03-21;2019-09-21;2019-09-22
